w_out,LCOH,LCOH_i
2260.422485,0.025496237,0.545659179
2348.556365,0.031881974,0.682323883
2627.884231,0.018162575,0.388707395
2963.004375,0.022722082,0.486287941
2122.677918,0.049086891,1.050535894
1446.172837,0.022075573,0.472451645
3189.087224,0.026437302,0.565799438
1518.389719,0.020326889,0.435027072
297.974992,0.099763271,2.135089346
1763.629273,0.020420315,0.437026535
2327.027411,0.011165495,0.238958987
3175.454248,0.022376475,0.478891402
2167.233367,0.018348891,0.392694831
702.8377114,0.117349554,2.511463192
1975.337825,0.028032007,0.599928599
431.259086,0.054032801,1.156386069
1434.952309,0.018928641,0.405102393
237.755388,0.134805305,2.885043445
6802.414276,0.010204453,0.218391174
2748.825082,0.025920544,0.554740005
1370.077463,0.028541302,0.6108283
330.7874751,0.171505386,3.67048233
1371.329207,0.034643408,0.741422884
892.3414559,0.06763333,1.447458568
447.958903,0.07999933,1.712110235
2421.16668,0.024802981,0.530822412
2943.309888,0.028384767,0.607478219
2076.930192,0.032315038,0.69159213
5993.345295,0.01527753,0.326962934
341.3929458,0.045876859,0.981836229
753.7087546,0.024430908,0.522859474
1972.136978,0.021826162,0.467113856
2787.16804,0.012701212,0.271825705
306.5143896,0.099683844,2.133389491
3220.129075,0.013913258,0.297765395
2394.769457,0.030332793,0.649168998
1785.324303,0.015544919,0.332685467
2063.145196,0.029908428,0.640086922
1813.158881,0.016353754,0.349995796
2512.510081,0.018546203,0.396917629
1149.479873,0.055446439,1.186640128
2613.000021,0.015661806,0.335187031
852.2654582,0.017421711,0.372851747
617.7841725,0.134886905,2.886789808
2431.316886,0.020618752,0.441273391
508.3740651,0.060736613,1.29985809
717.5098274,0.079970412,1.711491347
989.7111893,0.023736389,0.507995686
1579.200204,0.026906229,0.575835197
1735.150495,0.03643028,0.779664724
2299.058137,0.018912596,0.404759002
4647.527795,0.009990274,0.21380743
2603.047991,0.01499455,0.320906726
1736.554957,0.022899025,0.490074796
1733.192532,0.027075653,0.579461134
911.7519831,0.055437925,1.186457922
3521.313565,0.010561373,0.226029824
3647.308076,0.014727281,0.315186753
2058.057147,0.032901989,0.704153792
1700.085867,0.016470951,0.352503999
1516.902132,0.033837308,0.724171088
1778.912341,0.016770908,0.358923555
3344.257194,0.020097171,0.430110749
376.6120112,0.057085731,1.221723524
2825.369768,0.017800094,0.380949724
8037.970044,0.009214473,0.197204075
1264.883915,0.039661832,0.848824965
4146.374639,0.015054821,0.322196604
759.1394021,0.058922724,1.261038053
1863.293833,0.031134622,0.666329387
980.6210002,0.021116065,0.451916664
85.08954222,0.244787939,5.238843073
2703.209237,0.02107299,0.450994792
5668.017291,0.008082994,0.172988668
335.965976,0.058705933,1.256398377
